LSOA 2021 Code,LSOA 2021 Name,Total,F50-84,M50-84,MF50-84,F50-84 Percentage of Total LSOA Population,M50-84 Percentage of Total LSOA Population,MF50-84 Percentage of Total LSOA Population
E01015023,Plymouth 003A,1820,349,336,685,19.2,18.5,37.6
E01015024,Plymouth 004A,1295,314,300,614,24.2,23.2,47.4
E01015025,Plymouth 001A,1759,463,438,901,26.3,24.9,51.2
E01015026,Plymouth 003B,1524,265,256,521,17.4,16.8,34.2
E01015027,Plymouth 002A,1713,388,350,738,22.7,20.4,43.1
E01015028,Plymouth 003C,1804,232,248,480,12.9,13.7,26.6
E01015029,Plymouth 008A,2144,318,250,568,14.8,11.7,26.5
E01015030,Plymouth 007A,1684,282,275,557,16.7,16.3,33.1
E01015031,Plymouth 023A,1643,187,234,421,11.4,14.2,25.6
E01015032,Plymouth 023B,1972,148,200,348,7.5,10.1,17.6
E01015033,Plymouth 016A,1620,323,352,675,19.9,21.7,41.7
E01015034,Plymouth 016B,1442,339,321,660,23.5,22.3,45.8
E01015035,Plymouth 012A,1507,337,286,623,22.4,19.0,41.3
E01015036,Plymouth 016C,1629,343,339,682,21.1,20.8,41.9
E01015037,Plymouth 012B,1354,328,265,593,24.2,19.6,43.8
E01015038,Plymouth 016D,1732,357,317,674,20.6,18.3,38.9
E01015039,Plymouth 014A,1114,215,167,382,19.3,15.0,34.3
E01015040,Plymouth 014B,1559,257,225,482,16.5,14.4,30.9
E01015041,Plymouth 014C,1648,237,224,461,14.4,13.6,28.0
E01015042,Plymouth 020A,1474,197,214,411,13.4,14.5,27.9
E01015043,Plymouth 026A,1457,195,219,414,13.4,15.0,28.4
E01015044,Plymouth 020B,1528,263,274,537,17.2,17.9,35.1
E01015045,Plymouth 026B,1555,218,246,464,14.0,15.8,29.8
E01015046,Plymouth 026C,1993,303,290,593,15.2,14.6,29.8
E01015047,Plymouth 026D,2197,418,408,826,19.0,18.6,37.6
E01015048,Plymouth 026E,2547,287,311,598,11.3,12.2,23.5
E01015049,Plymouth 023C,1944,177,196,373,9.1,10.1,19.2
E01015050,Plymouth 023D,2110,137,173,310,6.5,8.2,14.7
E01015051,Plymouth 023E,1952,116,139,255,5.9,7.1,13.1
E01015052,Plymouth 028A,2036,145,189,334,7.1,9.3,16.4
E01015053,Plymouth 027A,1379,77,126,203,5.6,9.1,14.7
E01015054,Plymouth 027B,3234,82,88,170,2.5,2.7,5.3
E01015055,Plymouth 021A,1495,299,278,577,20.0,18.6,38.6
E01015056,Plymouth 021B,1760,407,385,792,23.1,21.9,45.0
E01015057,Plymouth 021C,1714,302,274,576,17.6,16.0,33.6
E01015058,Plymouth 012C,1652,265,220,485,16.0,13.3,29.4
E01015059,Plymouth 021D,1557,281,271,552,18.0,17.4,35.5
E01015060,Plymouth 021E,1599,333,250,583,20.8,15.6,36.5
E01015061,Plymouth 025A,1660,147,177,324,8.9,10.7,19.5
E01015062,Plymouth 025B,2245,181,175,356,8.1,7.8,15.9
E01015063,Plymouth 010A,1478,305,234,539,20.6,15.8,36.5
E01015064,Plymouth 008B,1648,460,419,879,27.9,25.4,53.3
E01015065,Plymouth 008C,1352,307,268,575,22.7,19.8,42.5
E01015066,Plymouth 012D,1321,346,269,615,26.2,20.4,46.6
E01015067,Plymouth 012E,1444,388,349,737,26.9,24.2,51.0
E01015068,Plymouth 010B,1630,342,313,655,21.0,19.2,40.2
E01015069,Plymouth 010C,1524,271,248,519,17.8,16.3,34.1
E01015070,Plymouth 007B,2928,538,493,1031,18.4,16.8,35.2
E01015071,Plymouth 008D,1535,324,273,597,21.1,17.8,38.9
E01015072,Plymouth 013A,1496,278,247,525,18.6,16.5,35.1
E01015073,Plymouth 013B,1546,309,275,584,20.0,17.8,37.8
E01015074,Plymouth 011A,1565,314,288,602,20.1,18.4,38.5
E01015075,Plymouth 014D,1529,294,282,576,19.2,18.4,37.7
E01015076,Plymouth 009A,1400,281,284,565,20.1,20.3,40.4
E01015077,Plymouth 011B,2643,452,353,805,17.1,13.4,30.5
E01015078,Plymouth 013C,1784,309,268,577,17.3,15.0,32.3
E01015079,Plymouth 011C,1807,379,309,688,21.0,17.1,38.1
E01015080,Plymouth 013D,1645,173,132,305,10.5,8.0,18.5
E01015081,Plymouth 007C,1843,304,272,576,16.5,14.8,31.3
E01015082,Plymouth 004B,1695,361,297,658,21.3,17.5,38.8
E01015083,Plymouth 004C,1654,328,324,652,19.8,19.6,39.4
E01015084,Plymouth 004D,1506,330,273,603,21.9,18.1,40.0
E01015085,Plymouth 006A,1660,363,307,670,21.9,18.5,40.4
E01015086,Plymouth 007D,1435,339,273,612,23.6,19.0,42.6
E01015087,Plymouth 006B,1724,294,266,560,17.1,15.4,32.5
E01015088,Plymouth 006C,1653,254,215,469,15.4,13.0,28.4
E01015089,Plymouth 007E,1722,355,306,661,20.6,17.8,38.4
E01015090,Plymouth 005A,1317,341,286,627,25.9,21.7,47.6
E01015091,Plymouth 005B,1417,396,375,771,27.9,26.5,54.4
E01015092,Plymouth 005C,3047,389,308,697,12.8,10.1,22.9
E01015093,Plymouth 005D,1378,377,295,672,27.4,21.4,48.8
E01015094,Plymouth 005E,1575,340,301,641,21.6,19.1,40.7
E01015095,Plymouth 010D,1399,364,294,658,26.0,21.0,47.0
E01015096,Plymouth 010E,1377,373,257,630,27.1,18.7,45.8
